Time,Output
2730739,lick_left
2730847,lick_left
2731058,active_press
2731059,reward_left
2731295,active_press
2731421,lick_left
2731535,lick_left
2745653,lick_left
2746021,active_press
2746022,reward_left
2746195,lick_left
2746316,lick_left
2747026,active_press
2747026,reward_left
2747445,active_press
2747596,lick_left
2747725,lick_left
2747852,lick_left
2754113,lick_left
2754261,lick_left
2761373,ContextC
2780748,active_press
2781102,active_press
2791388,ContextA
2805926,active_press
2805927,reward_right
2806330,lick_left
2806524,lick_left
2823030,active_press
2823034,reward_right
2823435,lick_right
2823556,lick_right
2830269,lick_right
2845785,lick_left
2845906,lick_left
2846047,lick_left
2851408,ContextC
2870661,active_press
2881423,ContextB
2881922,lick_left
2882068,lick_left
2885915,active_press
2885916,reward_left
2885928,lick_left
2886078,lick_left
2886203,lick_left
2886336,lick_left
2886724,active_press
2886882,lick_right
2887042,lick_left
2887661,lick_left
2941450,ContextC
2971464,ContextA
2994066,active_press
2994067,reward_right
2995512,active_press
2995516,reward_right
2995735,active_press
2995782,lick_right
2997029,lick_right
2997699,lick_right
3031491,ContextC
3031624,lick_right
3061516,ContextB
3067271,active_press
3067272,reward_left
3067558,lick_left
3067677,lick_left
3075446,lick_left
3075579,lick_left
3078499,lick_left
3121531,ContextC
3123801,active_press
3148301,active_press
3151553,ContextA
3166452,active_press
3166453,reward_right
3166670,lick_left
3166707,active_press
3166967,lick_right
3166983,active_press
3167117,lick_left
3167271,lick_right
3167460,lick_left
3167984,active_press
3167985,reward_right
3168134,lick_left
3168279,lick_right
3168400,lick_right
3177287,lick_left
3177435,lick_left
3177608,lick_right
3180947,lick_right
3210249,active_press
3210250,reward_right
3210550,lick_right
3210697,lick_right
3210821,lick_right
3211571,ContextC
3211812,lick_right
3211899,active_press
3241578,ContextB
3276909,active_press
3276910,reward_left
3277552,active_press
3277880,lick_left
3277990,lick_left
3278098,lick_left
3278305,active_press
3278306,reward_left
3278421,lick_left
3278540,lick_left
3278981,active_press
3279065,lick_left
3279206,lick_left
3279797,active_press
3279798,reward_left
3280002,lick_left
3280128,lick_left
3301602,ContextC
3331616,ContextA
3359659,lick_left
3359779,lick_left
3365943,active_press
3365944,reward_right
3366158,lick_left
3367358,active_press
3367358,reward_right
3367741,lick_right
3367961,lick_right
3368072,lick_right
3368377,active_press
3368379,reward_right
3368482,lick_right
3389931,active_press
3389932,reward_right
3390109,lick_right
3390225,lick_right
3391007,active_press
3391008,reward_right
3391635,ContextC
3391738,active_press
3417644,active_press
3421652,ContextB
3478588,active_press
3478589,reward_left
3479315,active_press
3479501,lick_left
3479622,lick_left
3480061,active_press
3480062,reward_left
3480161,lick_left
3480299,lick_left
3480687,active_press
3480923,active_press
3481682,ContextC
3483832,active_press
3485069,active_press
3486472,inactive_press
3488114,inactive_press
3488316,active_press
3488610,active_press
3511699,ContextA
3522956,active_press
3522957,reward_right
3571730,ContextC
3582646,active_press
